,Accuracy,Precision,Recall,F1 Score
baseline,0.4698703279938978,0.4683084749604378,0.4698703279938978,0.4635669509975083
Neural Network: No regularization,0.8779557589626239,0.875790866125634,0.8779557589626239,0.8729339270233065
Neural Network: With Regularization,0.8527841342486652,0.849915756851124,0.8527841342486652,0.8447039064139434
Neural Network,0.8749046529366895,0.8738431092045584,0.8749046529366895,0.8672969669842382
Neural Network: regularization,0.8421052631578947,0.8403497250779882,0.8421052631578947,0.8293207661173666
